issue #,html_url,Bug Classification Note,LEVEL 1: Issue Title and Body,LEVEL 2: Issue Discussion,LEVEL 3: PR Discussion,LEVEL 4: Commit/Code Change,LEVEL 5: Release Note,Regression Classification Note,"Test Available? (Yes, No, NA)",,,
34082,https://github.com/mastodon/mastodon/issues/34082,"This is a bug because the version of RedLock (1.3.2) which Mastodon depends on indirectly through the stoplight gem is not defined, thereby returning nil.",NA,"One of the maintainers noted that the issue occurs in redlock, a dependency of stoplight, which Mastodon indirectly uses.","In the body of the linked PR (#34126), the creator noted that earlier than 4.3: stoplight controls are, at least in part, “escaping” the set REDIS_NAMESPACE.","The commit adds a ""yield self"" to the file changes which aligns with what the maintainer was referencing about the regression",https://github.com/mastodon/mastodon/releases/tag/v4.3.6,"The issue classified as a regression because the added change is to yield itself, which it was previously doing before the last commit.",No,,,
32352,https://github.com/mastodon/mastodon/issues/32352,This is a bug because the enhancement introduced in PR #31365 resulted in an accessibility issue where the content warning styling is off putting and anxiety inducing,Revert: #31365 - The issue was created as a suggestion to revert a recent change causing the content warning styling to be off putting and anxiety inducing,NA,"The pull request #32543 description hightlight that the PR removes the stripes, adjust the borders accordingly, and also shared the before and after screenshot","The commit made some adjust to the content warnings. The changes include removing the stripes, adjusting the borders, widening the click area and reworking the styling and wording.",https://github.com/mastodon/mastodon/releases/tag/v4.3.2,The issue classified as a regression bug because the content warning changes that was introduced in #31365 was revisiting to address the UI and accessibility issue,No,,,
32381,https://github.com/mastodon/mastodon/issues/32381,This is a bug as one of the maintainers noted that the issue is a duplicate of another issue #32316 and the fix will be available in release 4.3.1,NA,One of the maintainers acknowledge the bug and upcoming fix,The pull request created noted that the PR fixes the issue #32316,The code change adjusted the column width which is in-line with the issue raised ,https://github.com/mastodon/mastodon/releases/tag/v4.3.1,Maintainer acknowledged and noted that it is similar and will be fixed in another issue https://github.com/mastodon/mastodon/issues/32316.,NA,,,
32607,https://github.com/mastodon/mastodon/issues/32607,This is a bug as one of maintainers acknowledged the issue and raised a pull request to resolve the issue,The issue has a video highlighting the regression and a maintainer confirmed the issue.,NA,The pull request #32622 title and description noted that it fixes the issue #32607,The file change in the commit is inline with the issue created about the number of followers in the account timeline is increased strangely,https://github.com/mastodon/mastodon/releases/tag/v4.3.2,The issue is classified as a regression because the follower counter increased strangely and the maintainers acknowledged the issue and raised a fix to address the issue,No,,,
33666,https://github.com/mastodon/mastodon/issues/33666,This is considered a bug the notifications from admins/mod is being filtered and a member of the maintainers noted a fix is incoming,The creator highlighted this issue is a regression and the linked fix addresses the issue,The creator titled the issues as a regression and the maintainer acknowledge and commented the respective fix,NA,The commit in the linked pull request made some changes which addresses the bug raised in the issue,https://github.com/mastodon/mastodon/releases/tag/v4.3.4,The creator titled the issue a regression and issue acknowledge by a maintainer of Mastodon,Yes,,,
32604,https://github.com/mastodon/mastodon/issues/32604,"The issue was opened as a suggestion, however the maintainer of Mastodon acknowledge this is a bug need fixing.","The author noted that in the previous design the button performing the ""unfollow"" action is clearly labelled ""Unfollowed"", and the fact the profile is following you is clearly indicated by the presence of the ""Follows you"" tag",The regression evidence was pointed out in the issue and its title to revert the changes and acknowledged by a couple of the maintainers,The linked pull request #34392 references another pull request that highlighted how it was before the regression was introduced,The linked pull request commit has changes made that is associated with the issue raised about the button label,https://github.com/mastodon/mastodon/releases/tag/v4.4.0,Regression evidence about the unfollow button label was noted in the issue title,No,,,
32325,https://github.com/mastodon/mastodon/issues/32325,The issue is a bug and acknowledged by one of the maintenance by stating the new UI/colour scheme had been rolled out as an option instead of arbitrarily foisted on everyone.,"The issue is considered a regression as the author pointed out that while they like the new style, they think there is no harm in adding the old colors back.","The issue discussion has both the acknowledgement of the maintainer and issue creator noting that restorng the old dark theme as an option, as the new one is not very accessible for their vision impairment",NA,NA,NA,The creator requested to revert the Mastodon Dark theme to the color scheme that does not cause eyestrain,NA,,,
34221,https://github.com/mastodon/mastodon/issues/34221,The author attached a recording of the issue which shows that cancelling a reply does not take the user back to the preview view in a narrow screen width,As the author pointed out that they are pretty confident that is not the case before the introduction of the bug,"The author noted that: I am fairly confident that previously canceling composing a reply would take you back to the list view you came from, but it may have just presented the post you were replying to. Either way, I'm pretty sure it did not leave you on an anonymous publish page. I frequently use mastodon just in a browser on my phone so this immediately struck me as a regression or at least a surprise in behavior.",NA,NA,NA,NA,NA,,,
32570,https://github.com/mastodon/mastodon/issues/32570,"This issue created as a suggestion is classified as a bug because When a user has e.g. a German or Dutch UI and the font size is larger than the default (because for example bad eye sight of the user*), the text at the top right is getting really to large. It overlaps sometimes important text or other parts of the image (see screenshot).",This is considered a regression as pointed out by the author and in the title as a request to revert 'Hide' button on images back to an icon.,The author noted that they will strongly advise to revert it back to the eye icon that was in the previous release,NA,NA,NA,NA,No,,,
31570,https://github.com/mastodon/mastodon/issues/31570,"This is considered to be a bug and confirmed by one of the maintainers of Mastodon that the issue is caused by a bug in libheif, which is fixed in a later version.",This is considered a regression noting that some users are not experiencing the issue in an earlier version while they started experiencing the issue after a dependency upgrade,One of the maintainers of Mastodon confirmed the regression on the issue,The pull request description noted that old versions of libheif has a bug with the HEIF images related to HDR metadata.,The commit is in inline with the issue raise and the maintainer's comment on the underlying dependency,https://github.com/mastodon/mastodon/releases/tag/v4.3.5,The issue is classified as a regression bug underlying dependency broke the flow and upgrading to another version resolve the issue,No,,,
